"mean"	"sd"	"median"	"max"	"min"
"sales.lab"	20.4782682894737	71.1913572028818	1.492298	384.491796	0.012954
"sales.lab.control"	14.6520927277628	60.5958834301792	1.537872	607.950491	0.00065
"sales.tips"	1.69413967924528	3.73196959809985	0.37447	24.474582	0.004
"sales.tips.control"	13.075478389414	58.2893895205335	1.900519	772.283145	0.001462
"employee.lab"	49.5526315789474	140.226399443884	8	732	2
"employee.lab.control"	38.3369272237197	121.305676925346	10	1544	1
"employee.tips"	32.8301886792453	28.695842535285	21	108	3
"employee.tips.control"	43.6578449905482	148.736528992413	12	2784	1
"age.lab"	5.89473684210526	4.34206000235043	4.5	17	1
"age.lab.control"	3.74123989218329	2.9496490994462	3	19	1
"age.tips"	4.84905660377358	1.91548574292522	5	9	1
"age.tips.control"	4.65028355387524	2.13657828677199	4	10	1
